condition,distance,structure,path,raw_probability,unattested_ngrams,dependency,n_gram,bootstrap_sample
EQ,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",1.3516538936148988e-07,[],RC,Bigram,2
EQ,Long,Island,"['start', 'COMP_wh-int', 'SUBJ', 'end']",1.535956912618442e-08,[],RC,Bigram,2
EQ-object,Short,noIsland,"['start', 'OBJ', 'end']",0.012974723575345475,[],RC,Bigram,2
EQ-object,Short,Island,"['start', 'OBJ', 'end']",0.012974723575345475,[],RC,Bigram,2
EQ-object,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.672567358817195e-07,[],RC,Bigram,2
EQ-object,Long,Island,"['start', 'COMP_wh-int', 'OBJ', 'end']",2.1728898861898276e-10,"[('COMP_wh-int', 'OBJ')]",RC,Bigram,2
Whether-subject,Short,noIsland,"['start', 'SUBJ', 'end']",0.03758731235259518,[],RC,Bigram,2
Whether-subject,Short,Island,"['start', 'SUBJ', 'end']",0.03758731235259518,[],RC,Bigram,2
Whether-subject,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",1.3516538936148988e-07,[],RC,Bigram,2
Whether-subject,Long,Island,"['start', 'COMP_pol-int', 'SUBJ', 'end']",1.0038934069401584e-10,"[('COMP_pol-int', 'SUBJ')]",RC,Bigram,2
Whether-object,Short,noIsland,"['start', 'OBJ', 'end']",0.012974723575345475,[],RC,Bigram,2
Whether-object,Short,Island,"['start', 'OBJ', 'end']",0.012974723575345475,[],RC,Bigram,2
Whether-object,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.672567358817195e-07,[],RC,Bigram,2
Whether-object,Long,Island,"['start', 'COMP_pol-int', 'OBJ', 'end']",3.6214831436497125e-10,[],RC,Bigram,2
Adjunct,Short,noIsland,"['start', 'SUBJ', 'end']",0.03758731235259518,[],RC,Bigram,2
Adjunct,Short,Island,"['start', 'SUBJ', 'end']",0.03758731235259518,[],RC,Bigram,2
Adjunct,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.672567358817195e-07,[],RC,Bigram,2
Adjunct,Long,Island,"['start', 'ADJUNCT_adv', 'OBJ', 'end']",4.26056840429378e-12,"[('start', 'ADJUNCT_adv'), ('ADJUNCT_adv', 'OBJ')]",RC,Bigram,2
RC-predlink,Short,noIsland,"['start', 'SUBJ', 'end']",0.03758731235259518,[],RC,Bigram,2
RC-predlink,Short,Island,"['start', 'PREDLINK', 'end']",0.00017832124321462398,[],RC,Bigram,2
RC-predlink,Long,noIsland,"['start', 'COMP_nominal', 'OBJ', 'end']",3.672567358817195e-07,[],RC,Bigram,2
RC-predlink,Long,Island,"['start', 'ADJUNCT_rel', 'OBJ', 'end']",4.26056840429378e-12,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'OBJ')]",RC,Bigram,2
RC-subject,Short,noIsland,"['start', 'SUBJ', 'end']",0.03758731235259518,[],RC,Bigram,2
RC-subject,Short,Island,"['start', 'SUBJ', 'end']",0.03758731235259518,[],RC,Bigram,2
RC-subject,Long,noIsland,"['start', 'COMP_nominal', 'SUBJ', 'end']",1.3516538936148988e-07,[],RC,Bigram,2
RC-subject,Long,Island,"['start', 'ADJUNCT_rel', 'SUBJ', 'end']",5.905255334942108e-12,"[('start', 'ADJUNCT_rel'), ('ADJUNCT_rel', 'SUBJ')]",RC,Bigram,2
RC-Pcomp,Short,noIsland,"['start', 'SUBJ', 'end']",0.03758731235259518,[],RC,Bigram,2
RC-Pcomp,Short,Island,"['start', 'SUBJ', 'end']",0.03758731235259518,[],RC,Bigram,2
